empID,FName,LName,role,email,phoneNum,address
0,admin,admin,admin,admin@bgwh.org,1111111111,111 Boston Ave
1,staff,staff,staff,staff@bgwh.org,9876678982,987 Boston Ave
69, Mason, Figster, Manure Inspector, mf@wpi.edu, 617666666, 92 Main Street
70, Michael, O'Connor, Janitor, login@wpi.edu, 9999999999, 10 Faraday St
96, Eli, Hoffberg, administrator, eh@wpi.edu, 8888888888, 100 Institute Road
123,Paul,Godinez,network specialist,pgodinez@wpi.edu,456852456,123 main street
420, Jason, Martino, ER, jm@wpi.edu, 6174444444, 100 institute Road
456,Will,BC,ENT,wbc@wpi.edu,852369741,456 worcester street
666,W,Wong,professor,wwong2@wpi.edu,5088315000,100 institute Road
777,Lehong,Wang,database,lwang11@wpi.edu,1234567890,1 main street
888,Ben,Bob,sergain,123@wpi.edu,987654321,10 main street
999,Alice,Mary,CEO,000@wpi.edu,9999999999,999 main street
